no_faktur,kode_barang,deskripsi,jumlah,tanggal_faktur,harga_satuan,id_pelanggan,provinsi
568894,21754,HOME BUILDING BLOCK WORD,2,2011-09-29 13:04:00,6250.0,17528.0,Bengkulu
580612,22972,CHILDREN'S SPACEBOY MUG,1,2011-12-05 11:58:00,3290.0,nan,Kalimantan Utara
578044,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,2011-11-22 14:41:00,550.0,13488.0,Jawa Barat
565329,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,2011-09-02 13:54:00,2950.0,14606.0,Banten
572474,23046,PAPER LANTERN 9 POINT DELUXE STAR,4,2011-10-24 13:36:00,6650.0,17423.0,Nusa Tenggara Timur
540411,47504H,ENGLISH ROSE SPIRIT LEVEL ,24,2011-01-07 10:24:00,850.0,16551.0,Sulawesi Barat
568574,23096,PETIT TRAY CHIC,1,2011-09-28 09:15:00,1650.0,13862.0,Jawa Timur
541110,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,24,2011-01-13 15:11:00,850.0,15916.0,Gorontalo
553527,22120,WELCOME  WOODEN BLOCK LETTERS,3,2011-05-17 14:57:00,9950.0,15123.0,Riau
549100,48187,DOORMAT NEW ENGLAND,2,2011-04-06 11:14:00,12460.0,nan,Sulawes Selatan
543590,21755,LOVE BUILDING BLOCK WORD,2,2011-02-10 11:44:00,5950.0,17377.0,Di Yogyakarta
537196,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-12-05 13:55:00,4950.0,15426.0,Bali
580367,22251,BIRDHOUSE DECORATION MAGIC GARDEN,1,2011-12-02 16:39:00,2460.0,nan,Bali
580659,23351,ROLL WRAP 50'S CHRISTMAS,1,2011-12-05 13:46:00,1250.0,17811.0,Papua Tengah
555368,21470,FLOWER VINE RAFFIA FOOD COVER,6,2011-06-02 14:30:00,3750.0,13437.0,Bali
578067,21576,LETS GO SHOPPING COTTON TOTE BAG,1,2011-11-22 15:43:00,4960.0,nan,Kalimantan Tengah
560432,23203,JUMBO BAG DOILEY PATTERNS,30,2011-07-18 15:39:00,2080.0,13327.0,Sulawesi Tengah
559529,20723,STRAWBERRY CHARLOTTE BAG,4,2011-07-10 12:03:00,850.0,14808.0,Lampung
544480,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,100,2011-02-21 10:32:00,2550.0,14646.0,Riau
536945,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2010-12-03 12:24:00,1950.0,14083.0,Riau
548919,22091,EMPIRE TISSUE BOX,12,2011-04-05 10:18:00,1250.0,13013.0,Sulawesi Tenggara
546117,22796,PHOTO FRAME 3 CLASSIC HANGING,2,2011-03-09 13:56:00,9950.0,16771.0,Kalimantan Tengah
538349,22754,SMALL RED BABUSHKA NOTEBOOK ,1,2010-12-10 14:59:00,1660.0,nan,Sulawes Selatan
545842,22191,IVORY DINER WALL CLOCK,2,2011-03-07 13:37:00,8500.0,15498.0,Bali
573915,23321,SMALL WHITE HEART OF WICKER,2,2011-11-01 15:55:00,1650.0,15511.0,Lampung
556459,23200,JUMBO BAG PEARS,4,2011-06-10 17:25:00,4130.0,nan,Papua Tengah
540126,21112,"SWISS ROLL TOWEL, PINK  SPOTS",96,2011-01-05 10:45:00,1250.0,13798.0,Sulawesi Utara
554117,84568,GIRLS ALPHABET IRON ON PATCHES ,288,2011-05-22 15:12:00,210.0,13758.0,Banten
555383,22331,WOODLAND PARTY BAG + STICKER SET,1,2011-06-02 15:13:00,1650.0,12517.0,Kalimantan Tengah
580367,84991,60 TEATIME FAIRY CAKE CASES,1,2011-12-02 16:39:00,1250.0,nan,Kalimantan Utara
548522,21539,REGENCY CAKESTAND 3 TIER,1,2011-03-31 16:43:00,9960.0,nan,Kepulauan Riau
547048,22362,GLASS JAR PEACOCK BATH SALTS,6,2011-03-20 11:52:00,2950.0,14911.0,Sulawesi Utara
574074,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,1,2011-11-02 15:33:00,1250.0,nan,Sulawes Selatan
540692,21733,RED HANGING HEART T-LIGHT HOLDER,6,2011-01-11 09:12:00,2950.0,14320.0,Sulawesi Barat
555853,85049G,CHOCOLATE BOX RIBBONS ,1,2011-06-07 13:44:00,1250.0,14375.0,Kepulauan Riau
548749,22175,REGENCY CAKESTAND 3 TIER,6,2011-04-04 12:29:00,2950.0,13004.0,Sumatera Selatan
550535,21181,PLEASE ONE PERSON METAL SIGN,12,2011-04-19 11:19:00,2100.0,14211.0,Lampung
557897,23298,SPOTTY BUNTING,6,2011-06-23 14:25:00,4950.0,13881.0,Jawa Barat
545226,22860,EASTER TIN CHICKS PINK DAISY,6,2011-03-01 09:33:00,1650.0,12428.0,Di Yogyakarta
C569119,84978,HANGING HEART JAR T-LIGHT HOLDER,1,2011-09-30 12:57:00,1250.0,14194.0,Papua Barat Daya
562928,85172,HYACINTH BULB T-LIGHT CANDLES,1,2011-08-10 15:29:00,420.0,15494.0,Nusa Tenggara Timur
557466,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,2011-06-20 13:08:00,4950.0,13815.0,Kalimantan Selatan
576840,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,1,2011-11-16 15:23:00,16630.0,nan,Sulawesi Barat
551820,23204,CHARLOTTE BAG APPLES DESIGN,20,2011-05-04 12:11:00,850.0,12645.0,Sulawes Selatan
576842,23455,SMALL PARLOUR PICTURE FRAME,6,2011-11-16 15:31:00,2890.0,13599.0,Jwa Tengah
542221,22384,REGENCY CAKESTAND 3 TIER,1,2011-01-26 12:40:00,1650.0,14978.0,Papua
562730,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,48,2011-08-09 10:16:00,1250.0,17554.0,Jawa Barat
540412,21275,ZINC TOP  2 DOOR WOODEN SHELF ,1,2011-01-07 10:27:00,16950.0,13842.0,Papua Tengah
553050,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-05-13 10:09:00,2080.0,15498.0,Bangka Belitung
541695,90114,SUMMER DAISIES BAG CHARM,1,2011-01-20 18:01:00,2460.0,nan,Jambi
541423,22381,TOY TIDY PINK POLKADOT,2,2011-01-17 17:54:00,4130.0,nan,Sulawes Selatan
574107,22595,GINGHAM HEART DECORATION,1,2011-11-03 10:49:00,850.0,13728.0,Papua Barat
552694,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2011-05-10 15:25:00,3250.0,12749.0,Bengkulu
553702,22917,HERB MARKER ROSEMARY,4,2011-05-18 14:50:00,650.0,13263.0,Bali
580880,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,2011-12-06 12:19:00,2080.0,14121.0,Papua
537434,37474,SET/4 2 TONE EGG SHAPE MIXING BOWLS,1,2010-12-06 16:57:00,9950.0,nan,Lampung
545690,22916,HERB MARKER THYME,1,2011-03-06 12:46:00,650.0,13263.0,Banten
579623,23241,TREASURE TIN GYMKHANA DESIGN,6,2011-11-30 12:15:00,2080.0,16062.0,Nusa Tenggara Timur
573387,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1,2011-10-30 14:33:00,1250.0,15054.0,Bengkulu
575654,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-11-10 14:28:00,4950.0,15238.0,Jawa Barat
579458,22988,SOLDIERS EGG CUP ,1,2011-11-29 14:38:00,1250.0,16549.0,Sulawesi Tengah
567328,23072,MARIE ANTOINETTE TRINKET BOX SILVER,2,2011-09-19 14:43:00,12500.0,14356.0,Maluku Utara
541422,22539,MINI JIGSAW DOLLY GIRL,2,2011-01-17 17:48:00,830.0,nan,Nusa Tenggara Timur
546850,21181,PLEASE ONE PERSON METAL SIGN,6,2011-03-17 13:20:00,2100.0,13268.0,Kalimantan Utara
563557,23034,DRAWER KNOB CERAMIC BLACK,24,2011-08-17 13:33:00,1450.0,15786.0,Jambi
572887,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2011-10-26 13:47:00,1250.0,12362.0,Riau
542147,21288,STRIPEY CHOCOLATE NESTING BOXES,6,2011-01-26 10:02:00,2950.0,12782.0,Riau
561209,22489,PACK OF 12 TRADITIONAL CRAYONS,3,2011-07-25 16:57:00,830.0,nan,Kepulauan Riau
542112,23231,WRAP DOILEY DESIGN,25,2011-01-25 13:55:00,420.0,13168.0,Bali
537136,84952B,BLACK LOVE BIRD T-LIGHT HOLDER,2,2010-12-05 12:42:00,3750.0,12748.0,Banten
550474,22265,EASTER DECORATION NATURAL CHICK,1,2011-04-18 13:58:00,1250.0,nan,Dki Jakarta
554310,20725,LUNCH BAG RED RETROSPOT,1,2011-05-23 15:25:00,4130.0,nan,Riau
544903,21754,HOME BUILDING BLOCK WORD,3,2011-02-24 13:43:00,5950.0,18065.0,Maluku Utara
578506,21744,SNOWFLAKE PORTABLE TABLE LIGHT ,6,2011-11-24 13:01:00,2950.0,17458.0,Papua Barat
550183,21499,BLUE POLKADOT WRAP,25,2011-04-14 17:58:00,420.0,14105.0,Kalimantan Timur
545995,22292,HANGING CHICK  YELLOW DECORATION,8,2011-03-08 13:54:00,1450.0,15023.0,Kalimantan Timur
569414,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,13,2011-10-04 10:11:00,3290.0,nan,Jawa Barat
560453,22968,ROSE COTTAGE KEEPSAKE BOX ,6,2011-07-19 09:52:00,9950.0,13209.0,Kalimantan Timur
548612,22083,PAPER CHAIN KIT RETROSPOT,2,2011-04-01 11:34:00,2950.0,13137.0,Kalimantan Tengah
571465,22659,LUNCH BOX I LOVE LONDON,1,2011-10-17 14:29:00,1950.0,14830.0,Kalimantan Selatan
573553,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,2011-10-31 13:48:00,4130.0,nan,Papua Tengah
551855,85049C,ROMANTIC PINKS RIBBONS ,1,2011-05-04 15:08:00,1250.0,12836.0,Kalimantan Tengah
568719,84568,GIRLS ALPHABET IRON ON PATCHES ,2,2011-09-28 16:19:00,420.0,nan,Gorontalo
545078,DOT,DOTCOM POSTAGE,1,2011-02-28 10:15:00,147490.0,nan,Kalimantan Tengah
560772,22384,LUNCH BAG PINK POLKADOT,1,2011-07-20 16:12:00,4130.0,nan,Maluku Utara
561894,21260,FIRST AID TIN,1,2011-07-31 15:00:00,3250.0,14456.0,Kalimantan Selatan
542229,22090,PAPER BUNTING RETROSPOT,6,2011-01-26 13:38:00,2950.0,12474.0,Di Yogyakarta
566083,21873,IF YOU CAN'T STAND THE HEAT MUG,12,2011-09-09 10:10:00,1250.0,13145.0,Sulawesi Utara
538207,22747,POPPY'S PLAYHOUSE BATHROOM,1,2010-12-10 11:33:00,2100.0,12748.0,Nusa Tenggara Timur
570500,21981,PACK OF 12 WOODLAND TISSUES ,12,2011-10-11 09:19:00,390.0,15858.0,Jawa Barat
570964,23375,50'S CHRISTMAS PAPER GIFT BAG,1,2011-10-13 11:50:00,820.0,12766.0,Dki Jakarta
578041,85111,SILVER GLITTER FLOWER VOTIVE HOLDER,6,2011-11-22 14:23:00,290.0,17338.0,Bengkulu
559051,20676,RED RETROSPOT BOWL,1,2011-07-05 16:47:00,2460.0,nan,Kalimantan Tengah
575491,85185B,PINK HORSE SOCK PUPPET KIT,2,2011-11-09 17:47:00,2950.0,15531.0,Nusa Tenggara Timur
561873,22065,CHRISTMAS PUDDING TRINKET POT ,2,2011-07-31 11:48:00,1450.0,13316.0,Sumatera Selatan
580127,23220,REINDEER HEART DECORATION GOLD,12,2011-12-01 17:51:00,830.0,14911.0,Jawa Barat
566400,23340,VINTAGE CHRISTMAS CAKE FRILL,12,2011-09-12 13:16:00,1650.0,17139.0,Sumatera Utara
537155,62018,SOMBRERO ,1,2010-12-05 13:05:00,1950.0,12748.0,Sulawes Selatan
539453,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,2010-12-17 17:08:00,5910.0,nan,Banten
554511,21385,IVORY HANGING DECORATION  HEART,1,2011-05-24 15:52:00,1630.0,nan,Nusa Tenggara Timur
553505,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,2011-05-17 13:27:00,850.0,12949.0,Kepulauan Riau
550645,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20,2011-04-19 16:31:00,2080.0,16098.0,Kalimantan Selatan
565917,90144,SILVER DROP EARRINGS WITH FLOWER,1,2011-09-07 16:15:00,3730.0,nan,Kalimantan Utara
545083,21481,FAWN BLUE HOT WATER BOTTLE,6,2011-02-28 10:40:00,2950.0,15724.0,Bengkulu
562145,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,2011-08-03 10:45:00,7950.0,17656.0,Sulawesi Tengah
550389,22292,HANGING CHICK  YELLOW DECORATION,3,2011-04-18 11:53:00,1450.0,17284.0,Riau
555363,23057,BEADED CHANDELIER T-LIGHT HOLDER,1,2011-06-02 14:15:00,4950.0,14453.0,Jwa Tengah
544812,21731,RED TOADSTOOL LED NIGHT LIGHT,13,2011-02-23 15:58:00,3290.0,nan,Maluku
568881,22470,REGENCY CAKESTAND 3 TIER,6,2011-09-29 12:39:00,2950.0,13960.0,Papua Barat
576275,84946,ANTIQUE SILVER T-LIGHT GLASS,72,2011-11-14 14:28:00,1060.0,17044.0,Papua Barat
576202,22114,HOT WATER BOTTLE TEA AND SYMPATHY,24,2011-11-14 12:22:00,3750.0,13767.0,Jawa Barat
574701,23394,POSTE FRANCE CUSHION COVER,1,2011-11-06 13:54:00,3750.0,15426.0,Dki Jakarta
559919,22139,RETROSPOT TEA SET CERAMIC 11 PC ,48,2011-07-13 15:30:00,4250.0,12415.0,Sulawes Selatan
570008,23132,SMALL IVORY HEART WALL ORGANISER,3,2011-10-07 09:30:00,5750.0,13359.0,Banten
567742,22191,IVORY DINER WALL CLOCK,2,2011-09-22 10:47:00,8500.0,14261.0,Jwa Tengah
550532,22587,FELTCRAFT HAIRBAND RED AND BLUE,1,2011-04-19 11:02:00,850.0,14606.0,Bali
557226,15036,ASSORTED COLOURS SILK FAN,12,2011-06-17 13:39:00,830.0,15805.0,Papua Barat
552878,22960,JAM MAKING SET WITH JARS,1,2011-05-12 09:54:00,3750.0,12625.0,Sulawesi Tengah
C578367,23221,REGENCY CAKESTAND 3 TIER,1,2011-11-24 11:00:00,830.0,nan,Papua Barat Daya
571441,20723,STRAWBERRY CHARLOTTE BAG,1,2011-10-17 13:31:00,1630.0,14096.0,Maluku Utara
562046,22334,DINOSAUR PARTY BAG + STICKER SET,8,2011-08-02 10:34:00,1650.0,12378.0,Papua Barat Daya
559878,22413,METAL SIGN TAKE IT OR LEAVE IT ,1,2011-07-13 11:19:00,2950.0,15493.0,Sumatera Barat
541827,21318,GLASS CHALICE BLUE SMALL ,4,2011-01-21 17:05:00,3290.0,nan,Banten
579093,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2,2011-11-28 10:54:00,9950.0,13081.0,Jawa Timur
561686,20886,BOX OF 9 PEBBLE CANDLES,1,2011-07-29 08:29:00,1950.0,13148.0,Maluku Utara
548468,21664,RIDGED GLASS STORAGE JAR CREAM LID,2,2011-03-31 12:28:00,3750.0,14818.0,Banten
581114,22696,REGENCY CAKESTAND 3 TIER,1,2011-12-07 12:19:00,1950.0,14527.0,Papua Pegunungan
538177,22091,EMPIRE TISSUE BOX,1,2010-12-10 09:51:00,2510.0,nan,Jawa Barat
557406,23137,ZINC WIRE SWEETHEART LETTER TRAY,1,2011-06-20 11:30:00,3750.0,15747.0,Jawa Timur
566041,23244,ROUND STORAGE TIN VINTAGE LEAF,12,2011-09-08 13:48:00,1950.0,13814.0,Nusa Tenggara Barat
580054,23371,SET 36 COLOUR PENCILS SPACEBOY ,1,2011-12-01 13:08:00,1250.0,18122.0,Jwa Tengah
552702,21399,BLUE POLKADOT COFFEE MUG,4,2011-05-10 16:00:00,1630.0,nan,Jwa Tengah
554556,22400,MAGNETS PACK OF 4 HOME SWEET HOME,1,2011-05-25 10:11:00,1250.0,13098.0,Jambi
556816,22236,CAKE STAND 3 TIER MAGIC GARDEN,1,2011-06-15 09:01:00,10950.0,12437.0,Kalimantan Selatan
547537,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-03-23 15:16:00,850.0,13534.0,Jwa Tengah
560120,20728,LUNCH BAG CARS BLUE,10,2011-07-15 10:27:00,1650.0,14907.0,Kalimantan Tengah
536698,22457,NATURAL SLATE HEART CHALKBOARD ,6,2010-12-02 12:28:00,2950.0,15363.0,Sumatera Utara
537670,21871,SAVE THE PLANET MUG,12,2010-12-08 09:07:00,1250.0,13078.0,Lampung
564666,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,6,2011-08-26 14:51:00,2550.0,12492.0,Sulawesi Utara
549012,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-04-05 14:51:00,4950.0,16394.0,Kalimantan Timur
550207,21774,DECORATIVE CATS BATHROOM BOTTLE,1,2011-04-15 10:38:00,2460.0,nan,Sulawesi Barat
543814,22281,EASTER TREE YELLOW BIRDS,1,2011-02-13 15:17:00,5950.0,15640.0,Riau
575176,21648,ASSORTED TUTTI FRUTTI SMALL PURSE,1,2011-11-08 18:29:00,2460.0,nan,Maluku Utara
580610,22483,RED GINGHAM TEDDY BEAR ,1,2011-12-05 11:48:00,5790.0,nan,Kalimantan Utara
538177,22457,NATURAL SLATE HEART CHALKBOARD ,2,2010-12-10 09:51:00,5910.0,nan,Kalimantn Barat
560579,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,2011-07-19 15:13:00,1250.0,15867.0,Nusa Tenggara Timur
546892,22233,JIGSAW RABBIT AND BIRDHOUSE,1,2011-03-17 18:20:00,3290.0,nan,Sumatera Barat
553718,22715,CARD WEDDING DAY,1,2011-05-18 16:14:00,830.0,nan,Sumatera Selatan
564141,21686,MEDINA STAMPED METAL STOOL,1,2011-08-23 11:47:00,39950.0,17841.0,Jwa Tengah
558760,20712,JUMBO BAG WOODLAND ANIMALS,3,2011-07-03 12:38:00,2080.0,16918.0,Sulawes Selatan
551945,BANK CHARGES,Bank Charges,1,2011-05-05 11:09:00,15000.0,16714.0,Papua
579711,22349,DOG BOWL CHASING BALL DESIGN,1,2011-11-30 14:17:00,3750.0,15060.0,Di Yogyakarta
568719,20961,STRAWBERRY BATH SPONGE ,1,2011-09-28 16:19:00,2460.0,nan,Kalimantan Selatan
571931,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,1,2011-10-19 16:59:00,3290.0,nan,Di Yogyakarta
547672,23077,DOUGHNUT LIP GLOSS ,1,2011-03-24 13:54:00,1250.0,17754.0,Bangka Belitung
547374,22423,REGENCY CAKESTAND 3 TIER,1,2011-03-22 13:54:00,12750.0,16110.0,Kepulauan Riau
C577752,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-11-21 14:37:00,2950.0,16670.0,Nusa Tenggara Timur
543476,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-02-08 15:24:00,2950.0,13050.0,Aceh
568721,22501,PICNIC BASKET WICKER LARGE,1,2011-09-28 16:24:00,20790.0,nan,Jwa Tengah
565994,22090,PAPER BUNTING RETROSPOT,2,2011-09-08 11:46:00,2950.0,13244.0,Sulawesi Tengah
564050,21790,VINTAGE SNAP CARDS,12,2011-08-22 13:32:00,850.0,17160.0,Sulawes Selatan
557112,23337,EGG FRYING PAN MINT ,1,2011-06-16 16:31:00,4130.0,nan,Di Yogyakarta
564731,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-08-28 12:57:00,550.0,16186.0,Sulawes Selatan
581219,22219,LOVEBIRD HANGING DECORATION WHITE ,2,2011-12-08 09:28:00,1630.0,nan,Kepulauan Riau
537254,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-06 11:01:00,3750.0,15898.0,Nusa Tenggara Barat
578844,23344,JUMBO BAG 50'S CHRISTMAS ,3,2011-11-25 16:14:00,4130.0,nan,Sulawesi Barat
573300,20675,BLUE POLKADOT BOWL,2,2011-10-28 16:10:00,1250.0,16049.0,Sulawesi Tenggara
550312,22707,WRAP MONSTER FUN ,25,2011-04-17 11:18:00,420.0,13089.0,Nusa Tenggara Timur
562046,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12,2011-08-02 10:34:00,830.0,12378.0,Sumatera Utara
539185,22617,BAKING SET SPACEBOY DESIGN,1,2010-12-16 11:53:00,4950.0,16470.0,Riau
556023,22381,TOY TIDY PINK POLKADOT,2,2011-06-08 12:21:00,2100.0,14527.0,Lampung
565759,23404,HOME SWEET HOME BLACKBOARD,6,2011-09-06 13:46:00,4950.0,12720.0,Bali
558761,23321,SMALL WHITE HEART OF WICKER,2,2011-07-03 12:52:00,1650.0,15033.0,Di Yogyakarta
542867,22667,RECIPE BOX RETROSPOT ,2,2011-02-01 12:22:00,2950.0,nan,Lampung
541018,48116,DOORMAT MULTICOLOUR STRIPE,1,2011-01-13 12:03:00,7950.0,14978.0,Bengkulu
561060,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8,2011-07-24 13:30:00,2550.0,17703.0,Papua Pegunungan
537606,72741,GRAND CHOCOLATECANDLE,9,2010-12-07 13:16:00,1450.0,15002.0,Kalimantan Tengah
545701,22699,ROSES REGENCY TEACUP AND SAUCER ,4,2011-03-06 15:17:00,2950.0,17107.0,Sulawesi Tenggara
576339,22476,EMPIRE UNION JACK TV DINNER TRAY,2,2011-11-14 15:27:00,10790.0,14096.0,Maluku
540094,22469,HEART OF WICKER SMALL,12,2011-01-04 15:33:00,1650.0,14221.0,Papua Barat
563074,20972,PINK CREAM FELT CRAFT TRINKET BOX ,90,2011-08-11 15:58:00,1250.0,nan,Kepulauan Riau
537434,22908,PACK OF 20 NAPKINS RED APPLES,1,2010-12-06 16:57:00,1660.0,nan,Kalimantn Barat
536947,84692,BOX OF 24 COCKTAIL PARASOLS,25,2010-12-03 12:29:00,420.0,13013.0,Kalimantn Barat
547385,84429A,MEDIUM PINK BUDDHA HEAD ,1,2011-03-22 15:48:00,5790.0,nan,Nusa Tenggara Timur
580505,85179A,GREEN BITTY LIGHT CHAIN,1,2011-12-04 13:32:00,1250.0,15867.0,Bengkulu
577498,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3,2011-11-20 12:22:00,3750.0,15906.0,Papua Barat Daya
